id,country,city,zone,address,latitude,longitude,initialOwner
1,italy,milano,stazione centrale,via cavalcanti 9,45.4169784,9.0514524,
2,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
5,italy,milano,isola,via scalvini 5,45.4993288,9.1687947,
10,italy,milano,xxii marzo,via lodovico mancini 15,45.4623592,9.2097601,
11,italy,milano,isola,via marghera 34,45.4672365,9.1533669,
12,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
13,italy,milano,lorenteggio,via da schio 3,45.4494718,9.1389881,
14,italy,milano,lorenteggio,via da schio 3,45.4494718,9.1389881,
15,italy,milano,stazione centrale,via filzi 41,45.5471766,9.3474215,
16,italy,milano,xxii marzo,viale corsica  38,45.4622258,9.2327739,
17,italy,milano,xxii marzo,piazza grandi 3,45.462219,9.2207219,
18,italy,milano,mecenate,via bruno maderna 17,45.4855983,9.3211716,
19,italy,milano,porta romana,via copernico 47,45.5236192,9.2871825,
20,italy,milano,de angeli,via correggio 12,45.5220361,9.3238794,
21,italy,milano,brera,via del lauro 6,45.4685653,9.1864716,
22,italy,milano,bande nere,via desenzano 14,45.4616885,9.141122,
23,italy,milano,dateo,via hajech 45,45.4654705,9.2184148,
24,italy,milano,arco della pace,via lomazzo 16,45.4855599,9.1686703,
25,italy,milano,navigli,via marchetti 1,45.5315437,9.0665583,
26,italy,milano,duomo,via meravigli 16,45.4659046,9.1842256,
27,italy,milano,duomo,via meravigli 16,45.4659046,9.1842256,
28,italy,milano,duomo,via mercato 16,45.4712386,9.1841955,
29,italy,milano,duomo,via mercato 16,45.4712386,9.1841955,
30,italy,milano,porta romana,via maffei 10,45.4857041,8.9639948,
31,italy,milano,porta romana,via maffei 10,45.4857041,8.9639948,
32,italy,milano,porta romana,via maffei 10,45.4857041,8.9639948,
33,italy,milano,porta romana,via maffei 6,45.4857041,8.9639948,
34,italy,milano,porta romana,via maffei 8,45.4857041,8.9639948,
35,italy,milano,porta romana,via maffei 8,45.4857041,8.9639948,
36,italy,milano,porta romana,via fogazzaro 9,45.5743249,8.803394,
37,italy,milano,porta romana,via fogazzaro 9,45.5743249,8.803394,
38,italy,milano,porta romana,via fogazzaro 9,45.5743249,8.803394,
40,italy,milano,porta romana,via spartaco 8,45.4583337,9.2111915,
41,italy,milano,porta romana,via spartaco 10,45.4583337,9.2111915,
42,italy,milano,porta romana,via spartaco 10,45.4583337,9.2111915,
43,italy,milano,porta romana,via spartaco 8,45.4583337,9.2111915,
44,italy,milano,porta romana,via spartaco 38,45.4583337,9.2111915,
45,italy,milano,porta romana,via spartaco 38,45.4583337,9.2111915,
46,italy,milano,porta romana,via spartaco 38,45.4583337,9.2111915,
47,italy,milano,porta romana,via spartaco 38,45.4583337,9.2111915,
48,italy,milano,porta romana,via spartaco 38,45.4583337,9.2111915,
49,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
50,italy,milano,stazione centrale,via napo torriani 22,45.5307298,9.3318607,
51,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
52,italy,milano,xxii marzo,via lodovico mancini 15,45.4623592,9.2097601,
54,italy,milano,porta romana,via maffei 6,45.4857041,8.9639948,
55,italy,milano,sant'agostino,via lipari 6,45.4613543,9.1621842,
56,italy,milano,porta romana,via maffei 8,45.4857041,8.9639948,
57,italy,milano,porta romana,via maffei  8,45.4857041,8.9639948,
58,italy,milano,de angeli,via marghera 36,45.4672365,9.1533669,
59,italy,milano,de angeli,via dei gracchi 30,45.4639658,9.1510348,
60,italy,milano,de angeli,via alserio 1,45.4914399,9.1840375,
61,italy,milano,de angeli,piazza de angeli 9 9,45.4663203,9.1486398,
62,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
63,italy,milano,porta romana,via maffei 8,45.4857041,8.9639948,
64,italy,milano,porta romana,via maffei 6,45.4857041,8.9639948,
65,italy,milano,porta romana,via maffei 6,45.4857041,8.9639948,
66,italy,milano,porta romana,via spartaco 10,45.4583337,9.2111915,
67,italy,milano,porta romana,via spartaco 8,45.4583337,9.2111915,
68,italy,milano,porta romana,via spartaco  8,45.4583337,9.2111915,
69,italy,milano,centro storico,corso porta vittoria 58,45.462259,9.1987298,
70,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
71,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
72,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
73,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
74,italy,milano,stazione centrale,via napo torriani 22,45.5307298,9.3318607,
75,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
76,italy,milano,s.siro,via ricciarelli 16,45.4691646,9.1377911,
77,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
78,italy,milano,porta romana,via seneca 2,45.4541536,9.2084856,
79,italy,milano,forlanini,via barigozzi 35,45.459885,9.2439283,
80,italy,milano,forlanini,via barigozzi 35,45.459885,9.2439283,
81,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
82,italy,milano,porta romana,via clusone 2,45.4575524,9.207802,
83,italy,milano,niguarda,via ornato 44,45.5167719,9.1909829,
84,italy,milano,niguarda,via ornato 44,45.5167719,9.1909829,
85,italy,milano,porta romana,via spartaco 8,45.4583337,9.2111915,
86,italy,milano,porta romana,via maffei 10,45.4857041,8.9639948,
87,italy,milano,porta romana,via maffei 10,45.4857041,8.9639948,
88,italy,milano,de angeli,via marghera 34,45.4672365,9.1533669,
89,italy,milano,niguarda,via ornato 44,45.5167719,9.1909829,
90,italy,milano,niguarda,via ornato 44,45.5167719,9.1909829,
